ProvinceKey,ProvinceName,ProvinceNameEng,RegionKey,Region,RegionEng,ExpenditureTypeKey,ExpenditureType,ExpenditureTypeEng,Year,FarmPlantAnimalOwningLand,FarmPlantAnimalRentingLand,FarmFishingForestryHuntingAgri,EntrepreneurNonAgricultureBusiness,ProfessionalTechnicianManager,EmployeeLabourInAgriForestyFishery,EmployeeLabourInLogisticTransportation,EmployeeLabourInClericalSaleServices,EmployeeLabourInProductionConstruction,EconomicInactive,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2558,7609.2,11210.7,7163,8149.3,9594,5861.2,7130.3,7806.9,7428.7,6027.8,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2558,95.4,0,413.2,198.8,121.4,144.7,0,240.6,286.2,0,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2558,44.2,0,168.2,58,6.9,64.8,0,72,101.8,5,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2558,4380.5,6124.2,4298.5,4777.8,7626.7,3063.2,3957.7,4196.5,4092.7,5685.2
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2558,548.5,134,675.3,862.8,1974.1,346.1,462,857,738.8,374.9,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2558,987.9,432.4,667.6,1031.1,1875.9,592.2,779.4,940.6,982.4,601.9,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2558,321.6,174.8,43.4,159.6,297.5,81,46,338.8,131.6,142.6,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,17,การเดินทาง และการสื่อสาร,Transport and communication,2558,5085.1,5976.8,4297.7,4755.3,10359.5,2260.1,2296.1,4642.9,6090.1,2586.4,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,18,การศึกษา,Education,2558,133.9,79.8,143.2,417.5,421.1,69.2,113.3,200,201.2,253,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2558,22,0,0,7.5,2.9,5.4,0,0,15.2,0
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2558,431.9,233.1,642.3,654.1,716.3,163,217.7,300.3,402.3,409.3,
21,ระยอง               ,Rayong              ,5,ภาคใต้,Southern,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2558,1329.6,633.4,2058.2,2504.5,7646.9,770.3,2101.6,3540.3,4982.9,528.3,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2556,5344.1,7371.8,5287.8,7153.7,8913.4,9038.6,5060.5,6890.7,7020.7,4941.6,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2556,184.8,168.7,0,226.8,250.9,0,279.8,331.1,159.8,139.4,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2556,48,28.6,9.6,73.6,60.9,0,2.6,188.1,78.1,23.8,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2556,1467.5,1603.6,1279.2,2498.7,3919.1,1050,1797.1,2276.4,2420.5,2523.7
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2556,187.1,317.3,306.1,511.3,1124.7,0,414.3,419.5,329.3,242.8,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2556,291.5,378.2,247.9,604.1,1002.5,200,424.8,460.1,537.8,315.8,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2556,70.1,138.8,25.2,190,258.3,0,79.4,121,128.8,533.7,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,17,การเดินทาง และการสื่อสาร,Transport and communication,2556,2077.8,2980.6,1481.5,4248.3,7448.8,968,900.1,3169.2,4637.6,1559.5,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,18,การศึกษา,Education,2556,99.9,282.7,123.2,314.3,562.4,25,36.5,170.2,87.9,235.9,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2556,155.6,192.6,75.4,271.7,375.3,50,203.4,234.8,236.4,177.1
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2556,573.4,0,1031.9,221.5,1.2,0,0,299.3,0,70.4,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2556,1197.5,1217.1,580.9,1569.1,3691.7,317,3129.1,2029.9,2385.3,985.2,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2558,5647.6,7803.6,4483.7,8276.8,11628.7,6176.6,4977.9,7002.7,6593.2,5458.6,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2558,51,70.9,111.7,113.9,74.9,150.9,304.8,187.7,71.6,47.5,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2558,81.3,119.2,55.3,83.4,86.7,26.6,66.7,119.1,146.2,50.2,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2558,2092.1,3304.1,1446.3,3450.5,4793.7,1904.8,1899.5,3045.8,2271.9,2731.8
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2558,237.8,1074.5,188,803.2,1197.1,89.8,308,639.8,465.8,617.8,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2558,397.6,779.5,275.1,961.2,1194.3,295.4,432.9,737.8,550.5,484.2,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2558,128.4,153.2,39.3,223.5,183,26.6,33.3,238,115,412.8,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,17,การเดินทาง และการสื่อสาร,Transport and communication,2558,3834.2,4960.7,725,6854.6,8130.4,1780.5,940.2,2924.1,3846.3,3354.6,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,18,การศึกษา,Education,2558,107.1,88.9,143.6,440.3,508.7,22.5,108.7,232.4,213.3,275.9,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2558,137.6,325.7,173.5,251.6,397.3,100.9,87.9,174,106,346.1
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2558,2.7,8.5,0,34.9,258.8,0,0,1.1,73.2,947.3,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2558,1704.3,2624.1,494.4,2730.2,3326.6,1808.7,632,1945.7,2408.7,2155.8,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2556,4125.6,3334.3,4750.3,5763.6,7286.7,3943,3453.9,5709,4012.8,3552.2,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2556,10,86.7,0,5,144.4,183.8,0,32.2,38.8,15.8,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2556,42,51.7,0,138.2,56.7,0,103.4,106.3,143.3,22.9,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2556,3126.4,2757.1,2474.9,3296.5,4706.3,1793.3,3157.3,3365.1,3154.6,3127.2
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2556,46.1,0,246.9,250.1,266.7,260.4,0,95.3,7,108.2,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2556,253.8,215.2,516.9,454.2,787.7,193.3,239.7,440.2,249,282.5,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2556,66.1,30.9,45.8,334.7,112.5,57.7,6.5,192,195.2,80.5,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,17,การเดินทาง และการสื่อสาร,Transport and communication,2556,1727.7,1093.6,1760,3848.2,10244.2,660.7,1852.9,4606.6,1523.3,1745.4,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,18,การศึกษา,Education,2556,102.1,189.4,379.9,179.1,562.2,165.2,77.4,189.1,96.1,262.6,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2556,168.3,64.7,347.3,195.2,280.4,132.2,99.7,190.8,92.2,152.2
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2556,150.8,0,0,373,283,0,0,217.3,147,1645.4,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2556,647.6,447.5,761,1403.1,2988.3,438.7,265.5,816.5,556.4,528.2,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2558,5620.5,6067.5,8154.7,6053.5,6355.9,6476.7,5550.3,6298,6016.1,4702.9,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2558,8.4,94.2,179.2,16.8,41.2,21.5,0,29.4,47.3,7.5,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2558,59.5,187.8,63.3,63.8,70.5,54.3,63.2,55.6,110.4,44.8,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2558,2621.5,2786.2,3823.3,3618.5,4391.8,1840.7,2150.1,3483,2718.5,2892.3
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2558,139.6,21.5,162.9,149.3,268.9,0,49.1,156.8,45,53,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2558,288.9,284.5,824.4,476.2,776.9,262.7,278.7,590.5,388.3,215.8,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2558,75.5,18.4,136.1,60.9,184.4,72.1,81.8,41.6,24,120.3,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,17,การเดินทาง และการสื่อสาร,Transport and communication,2558,2393.1,1080.6,11664.6,4481.4,7253.5,1030.8,1667.8,3318.5,1661.8,1276.3,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,18,การศึกษา,Education,2558,114.7,69.5,226.7,275,218.6,22.6,57.2,178.4,124.1,130.4,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2558,0,0,0,0,0,0,0,0,0,0
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2558,132.6,47,631.9,146.4,322.6,45.4,85.9,73.2,35.1,423.6,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2558,693.6,235.1,993.8,1321.2,2509.3,437.4,365.9,1401.7,658.9,680.6,
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2558,5675.2,7155.4,4531.1,7430.9,9591.3,8152.8,6230.4,6333.4,6784.1,4882.3,
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2558,62.7,254.9,76.1,104.5,133.4,0,325.9,96.3,317.2,18.6,
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2558,62.1,494,18.7,90.9,76.2,43,54.2,119.9,137.1,9.9,
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2558,2375.4,2930.3,1934.5,3405,5002.5,2162,3044.5,3135.7,2738.6,2819.8
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2558,149.9,1099.6,73.1,417.8,1632.9,690,229.2,573.9,479.1,220.4,
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2558,412.3,1151.3,288.4,824.3,2046.2,1025,607,858.7,597.5,495.8,
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2558,102.6,567.8,92.6,413.3,493.1,800,119.4,175.1,140.9,162.5,
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,17,การเดินทาง และการสื่อสาร,Transport and communication,2558,1750.6,3932.3,791.2,4140.9,10199.7,765,2062.7,2789.5,2711.8,1564.5,
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,18,การศึกษา,Education,2558,94.8,10.4,22.9,143.8,651.9,304,1.1,131.6,74,222,
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,19,การบันเทิง การอ่านและกิจกรรมทางศาสนา,Recreation, Reading and Religious Activity,2558,165.6,461.6,99.7,248.1,517.3,630,116.4,169.5,150.5,193.1
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,20,การจัดงานพิธีในโอกาสพิเศษ,Special ceremony expenses,2558,0,0,240,4.9,1.9,0,0,133.4,1.3,183.8,
40,ขอนแก่น             ,Khon Kaen           ,2,ภาคกลาง,Central,21,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค ,Non - consumption expenditures,2558,891.4,2303.4,528.3,2184.8,5222.5,336,1603.6,1802.4,1872.9,868.1,
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,10,อาหารและเครื่องดื่ม (ไม่มีแอลกอฮอล์),Food and Beverages (excludes alcoholic),2556,7893.9,9180.4,8724.7,8452.8,10401.6,6471.8,7690.2,7894.8,7603.3,6429,
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,11,เครื่องดื่มที่มีแอลกอฮอล์ ,Alcoholic beverages ,2556,251,201.2,0,160.6,570,21.1,71.8,368.3,267.6,75.7,
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,12,ยาสูบ หมาก ยานัตถุ์ และอื่นๆ,Tobacco products,2556,61.3,372,0,171.4,134.3,56,106.3,108.1,177.1,65.9,
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,13,ที่อยู่อาศัย เครื่องแต่งบ้านและเครื่องใช้,Household operation, furnitures and equipment,2556,2807.1,2852.2,3670,5216,6548.5,1738.4,1865.2,3066.5,2735.2,3289
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,14,เครื่องนุ่งห่มและรองเท้า,Apparel and footwear ,2556,480.7,408.4,60,699.1,957.5,424.6,124.6,463.7,338.7,442.3,
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,15,ค่าใช้จ่ายส่วนบุคคล,Personal care,2556,615.5,611.4,340,695,1042.5,384.6,316.9,624.3,452.9,469,
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,16,เวชภัณฑ์ และค่าตรวจรักษาพยาบาล,Medical and health care,2556,684,340.8,360,514.2,494.9,98.2,113.5,131.1,254.7,320.6,
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,17,การเดินทาง และการสื่อสาร,Transport and communication,2556,9106.4,6732.7,14232,8449,16973,2234.1,1972.2,3380.4,5790.6,3138.8,
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,18,การศึกษา,Education,2556,144.3,370.9,107,261.8,798,112.8,77.7,244.9,219.4,206.7,
